sequence_length,lstm_units,dropout_rate,batch_size,epochs,learning_rate,n_layers,mean_val_loss,std_val_loss,fold_scores,n_samples
15,150,0.1,16,100,0.001,2,0.00036038345327445615,0.00022248086405454677,"[7.074624591041356e-05, 0.0003987627860624343, 0.0006116413278505206]",992
15,100,0.1,16,100,0.001,1,0.0004404006443413285,0.00022962119693205126,"[0.00011697081936290488, 0.0006272890022955835, 0.0005769421113654971]",992
30,150,0.3,16,100,0.001,1,0.00045135628897696733,0.00030162035018410356,"[7.38997186999768e-05, 0.0004680172714870423, 0.0008121518767438829]",977
15,50,0.1,16,100,0.001,1,0.0004659683448456538,0.00028342578833202213,"[8.043196430662647e-05, 0.0007536920020356774, 0.0005637810681946576]",992
30,100,0.1,16,50,0.001,1,0.0004665667596176111,0.0002927288325162065,"[5.682969276676886e-05, 0.0006202307413332164, 0.0007226398447528481]",977
15,150,0.2,32,100,0.001,1,0.0004824281034719509,0.0002864435779536267,"[0.00012023520685033873, 0.0005064032156951725, 0.0008206458878703415]",992
15,150,0.3,32,50,0.001,1,0.0005602837724533553,0.00031509074243231937,"[0.00014443897816818208, 0.000629540765658021, 0.0009068715735338628]",992
15,150,0.1,32,50,0.001,1,0.0005636160203721374,0.0003264641802288592,"[0.00012214624439366162, 0.0006673183524981141, 0.0009013834642246366]",992
60,150,0.3,16,100,0.001,1,0.0005829372433557486,0.0003634017221075961,"[0.0001322645548498258, 0.0010221936972811818, 0.000594353477936238]",947
15,100,0.1,32,100,0.001,2,0.0006314176425803453,0.0003330038306737464,"[0.0001626249577384442, 0.0008269245154224336, 0.000904703454580158]",992
15,100,0.2,32,100,0.001,2,0.000650614223559387,0.0004040866475623783,"[0.00010123544780071825, 0.0007890455890446901, 0.0010615616338327527]",992
60,100,0.3,16,50,0.001,1,0.0006533500224274272,0.0003227197718216627,"[0.00020741198386531323, 0.0007921969518065453, 0.0009604411316104233]",947
30,150,0.1,64,50,0.001,2,0.0007359198352787644,0.00034481956438689844,"[0.0002585731272120029, 0.0008882457041181624, 0.0010609406745061278]",977
60,150,0.3,16,50,0.001,1,0.0007533672517941644,0.0002661041905774212,"[0.0004062758234795183, 0.0008009652956388891, 0.0010528606362640858]",947
30,150,0.1,32,100,0.001,1,0.0007671720522921532,0.000434079361118688,"[0.00017206722986884415, 0.0011952044442296028, 0.0009342444827780128]",977
30,150,0.3,64,100,0.001,2,0.0008092002196159834,0.0005770425788202307,"[0.00018861102580558509, 0.0006605623639188707, 0.0015784272691234946]",977
30,100,0.3,32,50,0.001,2,0.0008096712311574569,0.0003818375629482402,"[0.00037759498809464276, 0.0007452053832821548, 0.001306213322095573]",977
60,150,0.2,32,50,0.001,2,0.0008335945894941688,0.0003913196557599175,"[0.00029781321063637733, 0.001221486716531217, 0.0009814838413149118]",947
30,50,0.2,32,50,0.001,2,0.0008547161754298335,0.0005713038540117972,"[0.00013160800153855234, 0.0009041515877470374, 0.0015283889370039105]",977
30,100,0.2,16,50,0.001,3,0.0008749796106712893,0.0006974990087895012,"[0.00013490520359482616, 0.000680238357745111, 0.0018097952706739306]",977
60,150,0.3,32,100,0.001,2,0.0008846417767927051,0.0003035116530067524,"[0.0006041954038664699, 0.0007434553699567914, 0.001306274556554854]",947
15,150,0.1,16,50,0.0001,2,0.0008943661960074678,0.0005242031558288889,"[0.0002065664593828842, 0.0009987205266952515, 0.0014778116019442677]",992
60,150,0.2,32,100,0.001,2,0.0009118030429817736,0.0003411618510706141,"[0.0005704477080143988, 0.0013777678832411766, 0.0007871935376897454]",947
60,150,0.1,32,100,0.001,1,0.000929000418788443,0.0004568161356368583,"[0.00028613320318982005, 0.0013057764153927565, 0.0011950916377827525]",947
30,50,0.2,32,100,0.001,2,0.000939222906405727,0.0006865188906418608,"[0.0002767842961475253, 0.0006557523738592863, 0.0018851320492103696]",977
15,150,0.3,16,100,0.001,3,0.0009411182448578378,0.000737006140080017,"[0.0001690719509497285, 0.000720737676601857, 0.0019335451070219278]",992
30,50,0.2,16,100,0.001,2,0.0009544644417474046,0.0008403504723847371,"[0.0002210117963841185, 0.0005113643710501492, 0.002131017157807946]",977
15,150,0.2,64,100,0.001,3,0.000971087768751507,0.0005389514074071399,"[0.0002986064937431365, 0.000996636226773262, 0.0016180205857381225]",992
15,50,0.1,64,50,0.001,2,0.0009764257750551527,0.0006258180716509952,"[0.0001855301234172657, 0.0010278744157403708, 0.0017158727860078216]",992
15,50,0.1,64,100,0.001,1,0.0010042597956877823,0.000590339705442154,"[0.00020383739320095628, 0.0011989364866167307, 0.0016100055072456598]",992
30,150,0.3,16,50,0.0001,2,0.0010219253890682012,0.0005264828134890558,"[0.0003062963660340756, 0.001201743958517909, 0.0015577358426526189]",977
60,50,0.3,16,50,0.001,2,0.0010590385063551366,0.00047004297195382883,"[0.0004226893070153892, 0.00121076381765306, 0.0015436623943969607]",947
15,50,0.3,64,100,0.001,2,0.0010663027545281996,0.0006275628803355661,"[0.00025076090241782367, 0.0011708883102983236, 0.0017772590508684516]",992
15,150,0.1,32,100,0.0001,2,0.001119062052263568,0.0006117740218026496,"[0.0004338338621892035, 0.0010042398935183883, 0.0019191124010831118]",992
30,150,0.1,16,100,0.0001,1,0.001127618985871474,0.0005672759648315818,"[0.0003270248416811228, 0.0015725231496617198, 0.0014833089662715793]",977
15,50,0.2,16,100,0.0001,2,0.0011442302881429593,0.0005786192291989514,"[0.00042353011667728424, 0.0011689559323713183, 0.0018402048153802752]",992
