sequence_length,lstm_units,dropout_rate,batch_size,epochs,learning_rate,n_layers,mean_val_loss,std_val_loss,fold_scores,n_samples
15,100,0.1,16,100,0.001,1,0.00033344489202136174,0.00017960574037672583,"[8.394335600314662e-05, 0.0004169758758507669, 0.0004994154442101717]",991
15,50,0.1,16,100,0.001,1,0.0004399462025806618,0.00024006308691028073,"[0.0001008238541544415, 0.0006233801250346005, 0.0005956346285529435]",991
60,150,0.3,16,100,0.001,1,0.00044155750947538763,0.00021815512923790885,"[0.0001330715458607301, 0.0005919536342844367, 0.0005996473482809961]",946
30,100,0.1,16,50,0.001,1,0.000464076120503402,0.00027330497764330684,"[8.164603059412912e-05, 0.0006067748181521893, 0.0007038075127638876]",976
30,150,0.3,16,100,0.001,1,0.0004694304128255074,0.0002687056874884293,"[9.980461618397385e-05, 0.0005778450286015868, 0.0007306415936909616]",976
15,150,0.1,16,100,0.001,2,0.00048631730169290677,0.0003127294975335311,"[4.633998469216749e-05, 0.0007452235440723598, 0.000667388376314193]",991
15,100,0.1,32,100,0.001,2,0.0005283613124144418,0.00036229710546151065,"[6.0961272538406774e-05, 0.0005802875966764987, 0.0009438350680284202]",991
30,150,0.1,32,100,0.001,1,0.0005772165435094697,0.0003229814783065519,"[0.00012161024642409757, 0.0007768642390146852, 0.0008331751450896263]",976
15,150,0.2,32,100,0.001,1,0.0005841653522414466,0.0003655290600501966,"[0.0001648514880798757, 0.0005320033524185419, 0.001055641216225922]",991
15,150,0.1,32,50,0.001,1,0.0006163683719933033,0.00035185358017379557,"[0.0001628446625545621, 0.0006658209022134542, 0.0010204395512118936]",991
30,100,0.2,16,50,0.001,3,0.0006508452109604453,0.0004037020881896874,"[0.00012783361307810992, 0.0007140905363485217, 0.0011106114834547043]",976
60,150,0.3,16,50,0.001,1,0.0007107433533140769,0.00043503568379598995,"[0.0001458287879358977, 0.001204240252263844, 0.0007821610197424889]",946
15,150,0.3,32,50,0.001,1,0.000743770164262969,0.0005332148091890646,"[9.08169531612657e-05, 0.0007435724255628884, 0.001396921114064753]",991
60,150,0.1,32,100,0.001,1,0.000763005829260995,0.00029753579383551043,"[0.0004947299603372812, 0.001177879166789353, 0.0006164083606563509]",946
30,50,0.2,32,50,0.001,2,0.0007654569732646147,0.00048069426976412254,"[0.00012784951832145452, 0.0008800720097497106, 0.0012884493917226791]",976
30,150,0.3,64,100,0.001,2,0.0007659210241399705,0.0005114233768618384,"[0.0001821952173486352, 0.0006879475549794734, 0.001427620300091803]",976
30,100,0.1,64,100,0.001,3,0.0007681948288033406,0.0002465972209816044,"[0.00043777737300843, 0.0008367934497073293, 0.0010300136636942625]",976
60,100,0.3,16,50,0.001,1,0.0007709452620474622,0.00039646072902947005,"[0.00021718833886552602, 0.0009717539069242775, 0.001123893540352583]",946
30,150,0.1,64,50,0.001,2,0.0007936420006444678,0.00048543736290425197,"[0.00012978854647371918, 0.0009740824461914599, 0.0012770550092682242]",976
60,150,0.2,32,100,0.001,2,0.000794335714696596,0.0004314886151281913,"[0.00026522891130298376, 0.001322153490036726, 0.0007956247427500784]",946
30,100,0.3,32,50,0.001,2,0.0008038836288809156,0.0006078944302596615,"[9.959404997061938e-05, 0.0007290792418643832, 0.001582977594807744]",976
15,100,0.2,32,100,0.001,2,0.0008051422773860395,0.0005341238417581961,"[0.00024420046247541904, 0.0006475028931163251, 0.0015237234765663743]",991
60,150,0.2,32,50,0.001,2,0.0008160033612512052,0.000487971530287547,"[0.00017716630827635527, 0.0009093914995901287, 0.0013614522758871317]",946
30,50,0.2,32,100,0.001,2,0.0008665404020575806,0.000750897587963735,"[9.576290904078633e-05, 0.0006193176377564669, 0.0018845406593754888]",976
60,150,0.3,32,100,0.001,2,0.000874272343935445,0.0003000879956123231,"[0.00046404459862969816, 0.0009852368384599686, 0.0011735355947166681]",946
